name,slug,price,stockQuantity,category,description,shortDescription,compareAtPrice,sku,careLevel,lightRequirement,wateringFrequency,isPetSafe,plantSize,growthRate,careInstructions,isFeatured,isActive,imageUrls
Strelitzia nicolai,strelitzia-nicolai-small,85,20,outdoor-plants,"Small Strelitzia nicolai (Wild Banana) perfect for starting your tropical garden. This South African indigenous plant develops large paddle-shaped leaves and can eventually reach impressive heights. Ideal for creating tropical ambiance.","Small Wild Banana for tropical gardens",,WB-001,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,MODERATE,"Protection from strong winds essential. Regular watering in growing season.",false,true,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b
Strelitzia nicolai Medium,strelitzia-nicolai-medium,220,12,outdoor-plants,"Medium Wild Banana showing developing tropical foliage. This indigenous beauty adapts well to South African conditions and creates instant tropical appeal. Perfect for patios and protected garden areas.","Medium Wild Banana with developing tropical foliage",,WB-002,MODERATE,BRIGHT,BI_WEEKLY,false,MEDIUM,MODERATE,"Shelter from wind. Mulch around base to retain moisture.",false,true,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b
Strelitzia nicolai Large,strelitzia-nicolai-large,350,8,outdoor-plants,"Large Wild Banana specimen for immediate tropical impact. This established plant brings instant drama to gardens and patios. Being indigenous to South Africa, it's well-adapted to our climate conditions.","Large Wild Banana for instant tropical impact",,WB-003,MODERATE,BRIGHT,BI_WEEKLY,false,LARGE,MODERATE,"Wind protection crucial. Deep weekly watering in summer.",true,true,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b
Ficus benjamina,ficus-benjamina-small,95,25,outdoor-plants,"The Weeping Fig (Ficus benjamina) is a popular indoor and outdoor tree known for its graceful weeping branches and dense foliage. It's perfect for adding an elegant touch to any space, though it prefers consistent conditions and bright, indirect light.",Graceful weeping fig for elegant indoor or outdoor display,,FB-001,EASY,BRIGHT,WEEKLY,false,SMALL,MODERATE,Prefers consistent conditions; avoid sudden changes in light or temperature.,false,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Ficus benjamina Medium,ficus-benjamina-medium,175,15,outdoor-plants,"Medium Weeping Fig (Ficus benjamina) perfect for adding a touch of classic elegance. This established plant has a fuller canopy and is ideal for brightening up a corner or entryway.",Medium weeping fig for classic elegance and fuller canopy,,FB-002,EASY,BRIGHT,WEEKLY,false,MEDIUM,MODERATE,Requires consistent watering and bright, indirect light to thrive.,false,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Plumeria,plumeria-medium,195,12,outdoor-plants,"The Plumeria, or Frangipani, is renowned for its intoxicatingly fragrant and beautiful flowers. This tropical tree thrives in warm climates and full sun, making it a stunning addition to any South African garden or patio.",Fragrant tropical tree with stunning flowers for warm climates,,PLU-001,MODERATE,DIRECT_SUN,BI_WEEKLY,false,MEDIUM,MODERATE,Requires full sun and well-draining soil. Water regularly during growing season.,false,true,https://images.unsplash.com/photo-1555554471-1596700c010c
Jacaranda mimosifolia,jacaranda-small,65,30,outdoor-plants,"The Jacaranda is famous for its breathtaking display of purple-blue flowers in spring, creating a stunning spectacle. This fast-growing tree is deciduous and relatively low-maintenance once established, ideal for larger gardens.",Fast-growing tree with stunning purple-blue spring flowers,,JAC-001,EASY,DIRECT_SUN,BI_WEEKLY,false,SMALL,FAST,Prefers full sun and well-drained soil. Water regularly when young.,false,true,https://images.unsplash.com/photo-1628172905786-8f3a9e4b09d3
Bauhinia variegata,bauhinia-medium,150,15,outdoor-plants,"The Orchid Tree (Bauhinia variegata) produces exotic, orchid-like flowers in shades of pink, purple, or white. This beautiful, deciduous tree adds a tropical flair to any garden and is relatively hardy.",Exotic orchid-like flowers add tropical flair to any garden,,BAU-001,MODERATE,DIRECT_SUN,WEEKLY,false,MEDIUM,MODERATE,Tolerates some drought once established. Prefers full sun and well-draining soil.,false,true,https://images.unsplash.com/photo-1587393489814-25e4c05d7b5f
Clivia Bush Lily,clivia-bush-lily,120,18,outdoor-plants,"Clivia miniata produces clusters of bright orange flowers in spring. This South African indigenous plant thrives in semi-shade and is perfect for areas where other plants struggle. Extremely hardy once established.",South African native with bright orange spring flowers,,CLI-001,EASY,MEDIUM,WEEKLY,false,SMALL,SLOW,Semi-shade preferred. Drought tolerant once established.,true,true,https://images.unsplash.com/photo-1616963947134-b2e9c4ac8d0f
Clivia Large Flowering,clivia-large-flowering,220,10,outdoor-plants,"Large flowering Clivia specimen ready to bloom. These mature plants produce spectacular displays of orange flowers and are perfect for creating focal points in semi-shaded garden areas.",Large flowering Clivia for spectacular spring displays,,CLI-002,EASY,MEDIUM,WEEKLY,false,LARGE,SLOW,Established plants very drought tolerant. Flowers best with winter rest.,false,true,https://images.unsplash.com/photo-1616963947134-b2e9c4ac8d0f
