name,slug,price,stockQuantity,category,description,shortDescription,compareAtPrice,sku,careLevel,lightRequirement,wateringFrequency,isPetSafe,plantSize,growthRate,careInstructions,isFeatured,isActive,imageUrls
Snake Plant,snake-plant,95,25,Indoor Plants,"The Snake Plant (Sansevieria trifasciata) is one of the most popular and resilient houseplants. Known for its striking upright leaves with yellow edges, it's perfect for beginners and busy plant parents. This air-purifying champion thrives on neglect and can tolerate low light conditions.",Hardy air-purifying plant perfect for beginners,120,SNK-001,EASY,LOW,BI_WEEKLY,false,SMALL,SLOW,Water only when soil is completely dry. Prefers bright indirect light but tolerates low light.,true,true,https://images.unsplash.com/photo-1581595220892-b0739db3ba8c
Snake Plant Large,snake-plant-large,155,15,Indoor Plants,"Large Snake Plant (Sansevieria trifasciata) specimen perfect for making a statement. This mature plant features the characteristic sword-like leaves with vibrant yellow margins. Excellent air purifier that removes toxins while requiring minimal care.",Large statement Snake Plant for instant impact,,SNK-002,EASY,LOW,BI_WEEKLY,false,MEDIUM,SLOW,Water sparingly - every 2-3 weeks. Avoid overwatering.,true,true,https://images.unsplash.com/photo-1581595220892-b0739db3ba8c
ZZ Plant,zz-plant,105,20,Indoor Plants,"The ZZ Plant (Zamioculcas zamiifolia) is virtually indestructible with glossy, dark green leaves that add elegance to any space. This drought-tolerant beauty thrives in low light and forgives forgotten waterings, making it ideal for offices and low-maintenance homes.",Glossy indestructible plant for low light spaces,,ZZ-001,EASY,LOW,MONTHLY,false,SMALL,SLOW,Water monthly or when soil is dry. Extremely drought tolerant.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
ZZ Plant Medium,zz-plant-medium,175,12,Indoor Plants,"Medium-sized ZZ Plant perfect for desks or shelves. Features the signature glossy leaves and requires almost no maintenance. This size offers great value for creating instant greenery without the commitment of regular plant care.",Medium ZZ Plant for desks and shelves,,ZZ-002,EASY,LOW,MONTHLY,false,MEDIUM,SLOW,Water every 3-4 weeks. Allow soil to dry completely between waterings.,false,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Spider Plant,spider-plant,65,30,Indoor Plants,"The Spider Plant (Chlorophytum comosum) is a classic houseplant beloved for its arching green and white striped leaves and adorable plantlets. Safe for pets and excellent for beginners, it's perfect for hanging baskets or shelf displays.",Pet-safe classic with baby plantlets,,SP-001,EASY,MEDIUM,WEEKLY,true,SMALL,FAST,Keep soil slightly moist. Bright indirect light preferred.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Golden Pothos,golden-pothos,85,25,Indoor Plants,"Golden Pothos (Epipremnum aureum) is the ultimate trailing plant with heart-shaped leaves splashed with golden yellow. This vigorous grower is perfect for hanging baskets or climbing moss poles. Extremely forgiving and adaptable to various light conditions.",Ultimate trailing plant with golden variegation,,POT-001,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Allow top inch of soil to dry between waterings. Trim to maintain shape.,true,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Golden Pothos Hanging,golden-pothos-hanging,130,15,Indoor Plants,"Beautiful trailing Golden Pothos in a hanging format. This established plant comes ready to display with cascading vines that will continue growing. Perfect for adding vertical interest and bringing life to empty corners.",Trailing Pothos ready for hanging display,,POT-002,EASY,MEDIUM,WEEKLY,false,MEDIUM,FAST,Water when top soil feels dry. Pinch growing tips to encourage bushiness.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Peace Lily,peace-lily,120,18,Indoor Plants,"The Peace Lily (Spathiphyllum) combines beautiful white blooms with lush green foliage. Known as one of the top air-purifying plants, it dramatically droops when thirsty, making watering timing easy. Perfect for adding elegance to any room.",White-flowering air purifier with dramatic watering signals,,PL-001,EASY,MEDIUM,WEEKLY,false,SMALL,MODERATE,Water when leaves begin to droop slightly. Enjoys humidity.,true,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Peace Lily Medium,peace-lily-medium,185,10,Indoor Plants,"Medium Peace Lily perfect for floor placement or large surfaces. This size typically produces more frequent blooms and creates a substantial presence. The white spaths contrast beautifully with dark green leaves.",Medium Peace Lily for substantial presence,,PL-002,EASY,MEDIUM,WEEKLY,false,MEDIUM,MODERATE,Keep soil consistently moist but not soggy. Mist leaves regularly.,false,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Rubber Plant,rubber-plant,105,22,Indoor Plants,"The Rubber Plant (Ficus elastica) features large, glossy burgundy and green leaves that make a bold statement. This fast-growing beauty adapts well to indoor conditions and can grow quite tall, making it perfect for filling empty corners.",Bold statement plant with glossy burgundy leaves,,RUB-001,EASY,BRIGHT,WEEKLY,false,SMALL,MODERATE,Water when top inch of soil is dry. Wipe leaves clean monthly.,false,true,https://images.unsplash.com/photo-1542328694-2b8ad681d5ab
